Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
Larry Nance jr.,CLE,0.045,0.95,0.105,1.23,0,0,0.153,1.01,0.079,1.12,0.247,1.05,0,0,0.132,1.31
Taj Gibson,MIN,0,0,0.075,1.22,0,0,0.237,1.31,0.117,0.98,0.114,0.66,0,0,0.17,1.43
Christian Wood,DET,0.052,0.61,0.167,1.11,0,0,0.197,1.52,0.066,0.88,0.216,1.19,0,0,0.096,1.24
Josh Okogie,MIN,0.018,1.5,0.239,0.99,0.046,0.62,0,0,0,0,0.35,0.89,0.102,0.79,0.083,1.43
Nemanja Bjelica,SAC,0.032,0.68,0.128,1.17,0.033,0.81,0.104,1.27,0.093,0.81,0.274,1.26,0,0,0.059,1.44
Pat Connaughton,MIL,0,0,0.153,0.91,0.066,0.63,0.027,0.5,0,0,0.331,1.02,0.079,0.93,0.139,1.26
Robert Williams,BOS,0,0,0.107,1.08,0,0,0.27,1.3,0,0,0,0,0,0,0.254,1.71
Markieff Morris,DET,0.034,1.18,0.107,1.19,0,0,0.105,1,0.164,0.91,0.379,1.19,0,0,0.061,1.5
Robin Lopez,MIL,0.02,0.88,0.078,1.23,0,0,0.156,1.18,0.201,0.95,0.245,0.88,0,0,0.115,0.98
Mike Scott,PHI,0,0,0.145,1.12,0,0,0.064,0.94,0.071,0.75,0.408,1.09,0,0,0.099,1.08
Dillon Brooks,MEM,0.042,0.6,0.187,1.03,0.226,0.89,0,0,0.016,0.6,0.213,1,0.139,0.9,0.02,1.12
Tyler Johnson,PHO,0,0,0.18,0.71,0.166,0.83,0,0,0,0,0.36,0.8,0.085,1.11,0.066,1.29
Justine Winslow,,0,0,0.133,0.96,0.303,0.54,0,0,0,0,0.218,0.64,0,0,0.079,1.15
Al-Farouq Aminu,ORL,0,0,0.178,0.57,0,0,0,0,0,0,0.364,0.49,0,0,0.119,1.07
Blake Griffin,DET,0.093,0.81,0.108,1.25,0.202,0.87,0.078,0.73,0.166,0.91,0.178,0.75,0.036,0.33,0.036,0.92
