player,team,iso_freq,tra_freq,prh_freq,prr_freq,postup_freq,spotup_freq,handoff_freq,cut_freq,iso_pts,tra_pts,prh_pts,prr_pts,postup_pts,spotup_pts,handoff_pts,cut_pts,on_ball_creation,off_ball_finishing,transition_impact,iso_impact,prh_impact,spotup_impact,overall_efficiency,play_diversity,pca1,pca2,cluster_kmeans,cluster_dbscan,cluster_kmodes,archetype
Khris Middleton,MIL,0.129,0.179,0.256,0.009,0.083,0.137,0.051,0.025,0.98,1.18,0.99,1.18,1.01,1.34,1.25,1.41,0.519,0.171,0.21122,0.12642,0.25344,0.18358000000000002,1.1140506316294008,6.0,1.7821437311249149,2.576566408061787,0,-1,2,⚡ Iso Creator / Star Guard
Bradley Beal,WAS,0.092,0.172,0.322,0.0,0.011,0.098,0.098,0.038,0.9,1.16,0.97,0.0,0.89,1.06,1.02,1.33,0.523,0.136,0.19951999999999998,0.0828,0.31234,0.10388000000000001,1.0334897701161374,5.0,2.559105287603008,0.1816210268090199,0,1,2,⚡ Iso Creator / Star Guard
Jrue Holiday,NOP,0.098,0.186,0.318,0.009,0.012,0.178,0.068,0.03,1.08,1.04,0.78,1.25,1.13,0.94,1.04,1.24,0.49600000000000005,0.217,0.19344,0.10584000000000002,0.24804,0.16731999999999997,0.9425695206423028,5.0,1.6236855114304898,0.641945858713556,0,-1,2,⚡ Iso Creator / Star Guard
Malcolm Brogdon,IND,0.152,0.114,0.433,0.0,0.0,0.101,0.07,0.015,0.92,0.92,0.92,0.0,0.0,0.95,0.76,1.5,0.655,0.116,0.10488000000000001,0.13984,0.39836,0.09595000000000001,0.9205988690162723,5.0,4.956967427561107,0.10461117076015213,0,-1,2,⚡ Iso Creator / Star Guard
Caris Levert,BKN,0.182,0.133,0.394,0.0,0.0,0.126,0.037,0.042,0.78,1.14,0.84,0.0,0.0,0.86,1.27,1.23,0.6130000000000001,0.168,0.15162,0.14196,0.33096,0.10836,0.9097921215428969,4.0,3.831459422962491,-0.3580208805782117,0,-1,2,⚡ Iso Creator / Star Guard
Dennis Schroder,OKC,0.1,0.144,0.384,0.0,0.0,0.203,0.069,0.02,1.01,1.06,0.85,0.0,0.0,1.12,1.02,1.54,0.5529999999999999,0.223,0.15264,0.101,0.3264,0.22736000000000003,0.9875869554482752,5.0,2.4935999826706094,-0.5911201125118328,0,0,2,⚡ Iso Creator / Star Guard
Collin Sexton,CLE,0.091,0.168,0.37,0.0,0.0,0.134,0.075,0.046,1.0,1.13,0.9,0.0,0.0,1.1,0.77,1.11,0.5359999999999999,0.18,0.18983999999999998,0.091,0.333,0.14740000000000003,0.9842194559002041,5.0,2.4535661054112143,-0.7614419077232509,0,0,2,⚡ Iso Creator / Star Guard
De'Aron Fox,SAC,0.111,0.21,0.394,0.0,0.0,0.136,0.035,0.014,0.95,1.17,0.89,0.0,0.0,0.99,0.97,1.06,0.54,0.15000000000000002,0.24569999999999997,0.10545,0.35066,0.13464,0.983599998907111,4.0,2.636500937869199,-1.3925747705163154,0,2,2,⚡ Iso Creator / Star Guard
Donovan Mitchell,UTA,0.077,0.126,0.48,0.007,0.0,0.145,0.062,0.011,0.092,0.86,0.95,1.33,0.0,1.1,1.18,1.58,0.619,0.163,0.10836,0.007084,0.45599999999999996,0.1595,0.9149713646310887,5.0,2.9105776109722794,-0.8636426598451561,0,0,2,⚡ Iso Creator / Star Guard
Tobias Harris,PHI,0.102,0.145,0.174,0.012,0.114,0.196,0.072,0.052,0.81,1.17,0.85,1.38,0.96,1.13,1.0,1.49,0.46199999999999997,0.26,0.16964999999999997,0.08262,0.14789999999999998,0.22147999999999998,1.0347520172609548,7.0,0.17564100236931404,2.9327666956710527,2,-1,0,✂️ Off-Ball Cutter / Finisher
Eric Paschall,GSW,0.137,0.146,0.044,0.046,0.093,0.254,0.042,0.099,0.98,1.08,1.14,1.18,1.07,0.93,0.54,1.4,0.316,0.39899999999999997,0.15768,0.13426000000000002,0.050159999999999996,0.23622,1.037619046413915,5.0,-1.0220348937024848,3.791932912365594,2,-1,1,✂️ Off-Ball Cutter / Finisher
Bojan Bogdanovic,UTA,0.095,0.162,0.138,0.023,0.045,0.217,0.086,0.022,0.92,1.16,0.81,1.36,1.09,1.11,0.9,1.59,0.364,0.262,0.18792,0.0874,0.11178000000000002,0.24087000000000003,1.041472079896609,5.0,-0.23940526088547306,1.6241064012363207,0,-1,0,⚡ Iso Creator / Star Guard
Jimmy Butler,MIA,0.097,0.122,0.355,0.021,0.068,0.069,0.055,0.082,0.95,1.38,0.86,1.08,1.01,0.97,0.85,1.6,0.5750000000000001,0.17200000000000001,0.16835999999999998,0.09215,0.30529999999999996,0.06693,1.0380322197490999,7.0,2.1217922594728993,3.298647769854259,0,-1,2,⚡ Iso Creator / Star Guard
Montrezl Harrell,LAC,0.092,0.151,0.024,0.173,0.189,0.041,0.0,0.135,1.04,1.07,1.16,1.31,0.98,0.7,0.0,1.36,0.305,0.349,0.16157,0.09568,0.02784,0.0287,1.1294906818267194,5.0,-1.3810690264955912,6.455779590262278,2,-1,1,✂️ Off-Ball Cutter / Finisher
Danilo Gallinari,OKC,0.097,0.087,0.111,0.079,0.14,0.305,0.042,0.025,0.097,1.26,0.91,1.48,1.04,1.12,1.07,1.48,0.39,0.40900000000000003,0.10962,0.009409,0.10101,0.3416,1.0226851004258635,6.0,-2.0785756733060965,3.078772945587485,2,-1,1,✂️ Off-Ball Cutter / Finisher
Ja Morant,MEM,0.09,0.159,0.503,0.0,0.0,0.07,0.049,0.028,0.8,1.13,0.87,0.0,0.0,1.11,0.88,1.25,0.642,0.098,0.17967,0.072,0.43761,0.07770000000000002,0.9400444928364354,4.0,3.82778148266121,-1.2788004906139452,0,3,2,⚡ Iso Creator / Star Guard
Derrick Rose,DET,0.084,0.158,0.552,0.0,0.0,0.086,0.034,0.014,1.08,1.04,0.94,0.0,0.0,1.04,0.88,1.08,0.67,0.09999999999999999,0.16432,0.09072000000000001,0.51888,0.08943999999999999,0.9788793092900006,4.0,4.509165627719937,-1.2067159234637952,0,-1,2,⚡ Iso Creator / Star Guard
D'Angelo Russell,GSW,0.095,0.127,0.425,0.0,0.0,0.071,0.082,0.021,1.03,1.05,0.89,0.0,0.0,1.23,1.03,1.06,0.602,0.092,0.13335,0.09785,0.37825,0.08732999999999999,0.9786845298676196,5.0,4.166993316892969,-0.6540983311714377,0,-1,2,⚡ Iso Creator / Star Guard
Kemba Walker,BOS,0.067,0.128,0.485,0.0,0.0,0.102,0.063,0.01,1.04,0.91,1.09,0.0,0.0,0.9,0.96,1.09,0.615,0.11199999999999999,0.11648,0.06968,0.5286500000000001,0.09179999999999999,1.0268888876878495,5.0,4.509817924529916,-0.7635856951734697,0,-1,2,⚡ Iso Creator / Star Guard
Anfernee Simons,POR,0.118,0.144,0.311,0.0,0.0,0.237,0.06,0.028,1.0,0.99,0.88,0.0,0.0,0.87,0.74,1.5,0.489,0.265,0.14256,0.118,0.27368,0.20618999999999998,0.9207461014245591,5.0,2.1575383304404543,-0.3280885089876738,0,-1,2,⚡ Iso Creator / Star Guard
Terry Rozier,CHA,0.074,0.194,0.269,0.01,0.0,0.188,0.083,0.013,0.88,1.1,0.79,1.46,0.0,1.11,0.86,1.27,0.42600000000000005,0.21100000000000002,0.21340000000000003,0.06512,0.21251000000000003,0.20868000000000003,0.9653429591271444,5.0,0.6678061144842384,-0.6901524487398712,0,4,0,⚡ Iso Creator / Star Guard
Buddy Hield,SAC,0.062,0.188,0.262,0.01,0.0,0.173,0.062,0.031,0.87,0.99,0.9,0.71,0.0,1.26,0.93,0.86,0.386,0.214,0.18612,0.05394,0.2358,0.21797999999999998,0.9965228413749709,5.0,0.7689659905175935,-1.0337720757757798,0,4,0,⚡ Iso Creator / Star Guard
